break_even_price,implied_volatility,open_interest,day.change,day.change_percent,day.close,day.high,day.last_updated,day.low,day.open,day.previous_close,day.volume,day.vwap,details.contract_type,details.exercise_style,details.expiration_date,details.shares_per_contract,details.strike_price,details.ticker,greeks.delta,greeks.gamma,greeks.theta,greeks.vega,last_quote.ask,last_quote.ask_size,last_quote.ask_exchange,last_quote.bid,last_quote.bid_size,last_quote.bid_exchange,last_quote.last_updated,last_quote.midpoint,last_quote.timeframe,last_trade.sip_timestamp,last_trade.conditions,last_trade.price,last_trade.size,last_trade.exchange,last_trade.timeframe,underlying_asset.change_to_break_even,underlying_asset.last_updated,underlying_asset.price,underlying_asset.ticker,underlying_asset.timeframe
319.995,1.864736331970553,3876,0.0,0.0,0.01,0.01,1.7065044e+18,0.01,0.01,0.01,1.0,0.01,put,american,2024-01-31,100,320,O:SPY240131P00320000,-0.0007369597990685463,3.605748016402596e-05,-0.0413748807275302,0.0007266537516439528,0.01,5282,313,0.0,0,316,1706562780448775680,0.005,REAL-TIME,1.706539690838926e+18,[232],0.01,1.0,308.0,REAL-TIME,-171.0,1706566042664777472,490.94,SPY,REAL-TIME
329.995,1.7423729564224355,9745,0.0,0.0,0.01,0.01,1.7059572e+18,0.01,0.01,0.01,1.0,0.01,put,american,2024-01-31,100,330,O:SPY240131P00330000,-0.0007885023664236465,4.1156507485913695e-05,-0.04122663478704504,0.0007379631014629946,0.01,5282,313,0.0,0,316,1706562780448780544,0.005,REAL-TIME,1.705933808121e+18,[209],0.01,1.0,316.0,REAL-TIME,-161.0,1706566042664777472,490.94,SPY,REAL-TIME
334.995,1.6825977092025395,1220,0.0,0.0,0.01,0.01,1.7059572e+18,0.01,0.01,0.01,100.0,0.01,put,american,2024-01-31,100,335,O:SPY240131P00335000,-0.000816391062737975,4.405556659142711e-05,-0.04115223575024144,0.0007435383433913748,0.01,5282,313,0.0,0,316,1706562780448780544,0.005,REAL-TIME,1.705934017123e+18,[236],0.01,20.0,323.0,REAL-TIME,-156.0,1706566042664777472,490.94,SPY,REAL-TIME
339.995,1.6237227254053268,7338,0.0,0.0,0.01,0.01,1.7059572e+18,0.01,0.01,0.01,100.0,0.01,put,american,2024-01-31,100,340,O:SPY240131P00340000,-0.0008458559799219537,4.722535033938179e-05,-0.04107764545099707,0.0007490610998770791,0.01,5282,313,0.0,0,316,1706562780448775680,0.005,REAL-TIME,1.705934017123e+18,[236],0.01,20.0,323.0,REAL-TIME,-151.0,1706566042664777472,490.94,SPY,REAL-TIME
344.995,1.5657216433078947,1728,0.0,0.0,0.01,0.01,1.7059572e+18,0.01,0.01,0.01,100.0,0.01,put,american,2024-01-31,100,345,O:SPY240131P00345000,-0.0008770392838181124,5.069959487623881e-05,-0.04100287465030692,0.0007545320217769358,0.01,5282,313,0.0,0,315,1706562780448780544,0.005,REAL-TIME,1.705934017123e+18,[236],0.01,20.0,323.0,REAL-TIME,-146.0,1706566042664777472,490.94,SPY,REAL-TIME
349.995,1.5085692783384068,1519,0.0,0.0,0.01,0.01,1.7063028e+18,0.01,0.01,0.01,1.0,0.01,put,american,2024-01-31,100,350,O:SPY240131P00350000,-0.0009101006046507923,5.451739256459367e-05,-0.04092793367146345,0.0007599523739372184,0.01,5282,313,0.0,0,316,1706562780448785920,0.005,REAL-TIME,1.706300298013e+18,[219],0.01,1.0,309.0,REAL-TIME,-141.0,1706566042664777472,490.94,SPY,REAL-TIME
354.995,1.4522415467098975,698,0.0,0.0,0.01,0.01,1.7059572e+18,0.01,0.01,0.01,1.0,0.01,put,american,2024-01-31,100,355,O:SPY240131P00355000,-0.000945219847831089,5.872424524316539e-05,-0.040852836015855806,0.0007653421087295008,0.01,5282,313,0.0,0,316,1706562780448785920,0.005,REAL-TIME,1.705957548559e+18,[209],0.01,1.0,325.0,REAL-TIME,-136.0,1706566042664777472,490.94,SPY,REAL-TIME
359.995,1.3944528875673479,252,0.0,0.0,0.02,0.02,1.705698e+18,0.02,0.02,0.02,100.0,0.02,put,american,2024-01-31,100,360,O:SPY240131P00360000,-0.0009826616223674138,6.338090210962568e-05,-0.04065024520084865,0.0025320552188137268,0.01,5282,313,0.0,0,316,1706562780448785920,0.005,REAL-TIME,1.705677607129e+18,[209],0.02,100.0,325.0,REAL-TIME,-131.0,1706566042664777472,490.94,SPY,REAL-TIME
364.995,1.3346890073623274,194,0.0,0.0,0.01,0.01,1.7063028e+18,0.01,0.01,0.01,1.0,0.01,put,american,2024-01-31,100,365,O:SPY240131P00365000,-0.0010227705293986587,6.85637325133959e-05,-0.04028263548017465,0.002549243047792564,0.01,5282,313,0.0,0,316,1706562780449226496,0.005,REAL-TIME,1.706279405226e+18,[209],0.01,1.0,316.0,REAL-TIME,-126.0,1706566042664777472,490.94,SPY,REAL-TIME
369.995,1.2757426397682323,105,0.0,0.0,0.02,0.02,1.705698e+18,0.02,0.02,0.02,5.0,0.02,put,american,2024-01-31,100,370,O:SPY240131P00370000,-0.0010659429164549664,7.436638052480408e-05,-0.0399144910845986,0.0025662434563010787,0.01,4726,313,0.0,0,315,1706561999914966272,0.005,REAL-TIME,1.705698375954e+18,[209],0.02,1.0,319.0,REAL-TIME,-121.0,1706566042664777472,490.94,SPY,REAL-TIME
