break_even_price,open_interest,details.contract_type,details.exercise_style,details.expiration_date,details.shares_per_contract,details.strike_price,details.ticker,last_quote.ask,last_quote.ask_size,last_quote.ask_exchange,last_quote.bid,last_quote.bid_size,last_quote.bid_exchange,last_quote.last_updated,last_quote.midpoint,last_quote.timeframe,underlying_asset.change_to_break_even,underlying_asset.last_updated,underlying_asset.price,underlying_asset.ticker,underlying_asset.timeframe,day.close,day.high,day.last_updated,day.low,day.open,day.volume,day.vwap,last_trade.sip_timestamp,last_trade.conditions,last_trade.price,last_trade.size,last_trade.exchange,last_trade.timeframe,day.change,day.change_percent,day.previous_close,implied_volatility,greeks.delta,greeks.gamma,greeks.theta,greeks.vega
491.01,151,call,american,2024-01-30,100,470,O:SPY240130C00470000,21.17,325,302,20.85,325,302,1706562879779097600,21.01,REAL-TIME,0.07,1706566042664777472,490.94,SPY,REAL-TIME,20.85,21.0,1.7065044e+18,17.95,18.22,92.0,20.6703,1.7065627851939456e+18,[209],20.85,1.0,313.0,REAL-TIME,2.74,15.13,18.11,0.3232008378498384,0.9935040026863468,0.0020398673957674465,-0.11547677809910685,0.005737049951641172
490.995,121,call,american,2024-01-30,100,471,O:SPY240130C00471000,20.17,325,302,19.82,325,302,1706562879506157312,19.995,REAL-TIME,0.055,1706566042664777472,490.94,SPY,REAL-TIME,20.28,20.28,1.7065044e+18,16.77,16.79,11.0,18.0527,1.7065603728241444e+18,[232],20.28,1.0,312.0,REAL-TIME,3.23,18.944,17.05,0.2646178557476148,0.9981415202217105,0.0007899417875440083,-0.06375941959672234,0.0020761377986498043
490.995,254,call,american,2024-01-30,100,472,O:SPY240130C00472000,19.17,325,302,18.82,325,302,1706562879506157312,18.995,REAL-TIME,0.055,1706566042664777472,490.94,SPY,REAL-TIME,19.11,19.11,1.7065044e+18,15.55,16.0,86.0,15.8243,1.7065604511209876e+18,[232],19.11,1.0,312.0,REAL-TIME,2.95,18.255,16.16,0.2512739230455944,0.9981251763446161,0.0008387044023323702,-0.06312544569358888,0.002076079293015817
490.995,584,call,american,2024-01-30,100,473,O:SPY240130C00473000,18.17,325,302,17.82,325,302,1706562879903228416,17.995,REAL-TIME,0.055,1706566042664777472,490.94,SPY,REAL-TIME,18.25,18.25,1.7065044e+18,14.66,14.66,504.0,17.7694,1.7065621076674012e+18,[232],18.25,1.0,312.0,REAL-TIME,4.12,29.158,14.13,0.23795870737564695,0.9981072360767985,0.0008935320536969435,-0.062491473202198534,0.0020738800569649863
490.995,312,call,american,2024-01-30,100,474,O:SPY240130C00474000,17.17,605,316,16.82,605,316,1706562899307423488,16.995,REAL-TIME,0.055,1706566042664777472,490.94,SPY,REAL-TIME,14.81,14.81,1.7065044e+18,13.59,14.16,456.0,14.6783,1.7065556639872433e+18,[232],14.81,400.0,302.0,REAL-TIME,0.71,5.035,14.1,0.22467216598940068,0.9980874211607841,0.000955612532375716,-0.061857503443582935,0.002073660137074562
490.995,1229,call,american,2024-01-30,100,475,O:SPY240130C00475000,16.17,605,316,15.82,605,316,1706562899307478784,15.995,REAL-TIME,0.055,1706566042664777472,490.94,SPY,REAL-TIME,15.72,16.23,1.7065044e+18,12.55,12.89,22.0,13.9736,1.706561492685981e+18,[232],15.72,1.0,312.0,REAL-TIME,2.7,20.737,13.02,0.2114142759602948,0.9980653848052277,0.001026460820249985,-0.061223537756052535,0.002073368401206371
491.0,986,call,american,2024-01-30,100,476,O:SPY240130C00476000,15.18,605,316,14.82,605,316,1706562899307488512,15.0,REAL-TIME,0.06,1706566042664777472,490.94,SPY,REAL-TIME,15.22,15.22,1.7065044e+18,11.54,12.1,155.0,14.5948,1.7065619179823836e+18,[232],15.22,1.0,308.0,REAL-TIME,3.22,26.833,12.0,0.21972213868138613,0.9957047406319506,0.0020906133361077335,-0.07943030040070086,0.0057262867756538716
491.005,724,call,american,2024-01-30,100,477,O:SPY240130C00477000,14.18,605,316,13.83,600,316,1706562899307533568,14.005,REAL-TIME,0.065,1706566042664777472,490.94,SPY,REAL-TIME,13.71,14.12,1.7065044e+18,10.79,11.1,136.0,13.4872,1.7065615480717558e+18,[233],13.71,72.0,309.0,REAL-TIME,3.02,28.251,10.69,0.21421875965423995,0.9933519576690599,0.003142139492730971,-0.09374473669719657,0.0057358460421450845
491.005,1402,call,american,2024-01-30,100,478,O:SPY240130C00478000,13.18,605,316,12.83,600,316,1706562899307418368,13.005,REAL-TIME,0.065,1706566042664777472,490.94,SPY,REAL-TIME,12.7,13.02,1.7065044e+18,9.89,9.89,13.0,10.8231,1.7065613530031268e+18,[233],12.7,1.0,302.0,REAL-TIME,3.05,31.606,9.65,0.20002766237072894,0.9930024292185962,0.003523864909113923,-0.09281756952359889,0.005735169913707364
491.005,2182,call,american,2024-01-30,100,479,O:SPY240130C00479000,12.18,605,316,11.83,600,316,1706562899307438336,12.005,REAL-TIME,0.065,1706566042664777472,490.94,SPY,REAL-TIME,11.52,11.53,1.7065044e+18,8.46,9.02,157.0,9.7855,1.706561220808582e+18,[233],11.52,1.0,302.0,REAL-TIME,2.89,33.488,8.63,0.1858712763707693,0.9926007103248489,0.003988730062004735,-0.09189042995764153,0.005732004854950773
491.005,3203,call,american,2024-01-30,100,480,O:SPY240130C00480000,11.08,515,316,10.93,600,316,1706562899307513600,11.005,REAL-TIME,0.065,1706566042664777472,490.94,SPY,REAL-TIME,11.27,11.27,1.7065044e+18,7.54,8.03,305.0,10.2654,1.7065619361834278e+18,[233],11.27,1.0,308.0,REAL-TIME,3.14,38.622,8.13,0.17175069710947294,0.9921341341406194,0.004563733945606223,-0.09096332846842455,0.00572867843530403
