break_even_price,implied_volatility,open_interest,day.change,day.change_percent,day.close,day.high,day.last_updated,day.low,day.open,day.previous_close,day.volume,day.vwap,details.contract_type,details.exercise_style,details.expiration_date,details.shares_per_contract,details.strike_price,details.ticker,greeks.delta,greeks.gamma,greeks.theta,greeks.vega,last_quote.ask,last_quote.ask_size,last_quote.ask_exchange,last_quote.bid,last_quote.bid_size,last_quote.bid_exchange,last_quote.last_updated,last_quote.midpoint,last_quote.timeframe,last_trade.sip_timestamp,last_trade.conditions,last_trade.price,last_trade.size,last_trade.exchange,last_trade.timeframe,underlying_asset.change_to_break_even,underlying_asset.last_updated,underlying_asset.price,underlying_asset.ticker,underlying_asset.timeframe
455.995,0.5099795945214496,34,-0.03,-75.0,0.01,0.02,1.7065044e+18,0.01,0.02,0.04,2028.0,0.01,put,american,2024-01-30,100,456,O:SPY240130P00456000,-0.003421612681162474,0.0007417290737866834,-0.0635248161531115,0.002064873893625707,0.01,4392,323,0.0,0,309,1706562844863954688,0.005,REAL-TIME,1.7065622695155546e+18,[209],0.01,20.0,325.0,REAL-TIME,-34.9,1706566042664777472,490.94,SPY,REAL-TIME
456.995,0.4969504583081318,802,-0.01,-50.0,0.01,0.02,1.7065044e+18,0.01,0.02,0.02,16.0,0.015,put,american,2024-01-30,100,457,O:SPY240130P00457000,-0.0035083854574353224,0.0007794507633078404,-0.0633834281821969,0.0020666834853944765,0.01,4388,323,0.0,0,309,1706562844867257600,0.005,REAL-TIME,1.706561405974254e+18,[209],0.01,1.0,319.0,REAL-TIME,-33.9,1706566042664777472,490.94,SPY,REAL-TIME
457.995,0.4839510738325853,2027,-0.03,-75.0,0.01,0.02,1.7065044e+18,0.01,0.02,0.04,2.0,0.015,put,american,2024-01-30,100,458,O:SPY240130P00458000,-0.0035996144505927854,0.0008201161121753393,-0.06324203402338681,0.002068481718671706,0.01,4388,323,0.0,0,309,1706562844867057664,0.005,REAL-TIME,1.7065623001783634e+18,[233],0.01,1.0,302.0,REAL-TIME,-32.9,1706566042664777472,490.94,SPY,REAL-TIME
458.995,0.47098132739710064,25,0.0,0.0,0.02,0.02,1.7063028e+18,0.02,0.02,0.02,2.0,0.02,put,american,2024-01-30,100,459,O:SPY240130P00459000,-0.0036956499905298683,0.0008640394441027988,-0.06310060193585744,0.0020702473136341147,0.01,4384,323,0.0,0,316,1706562844943208448,0.005,REAL-TIME,1.706289484073e+18,[236],0.02,1.0,303.0,REAL-TIME,-31.9,1706566042664777472,490.94,SPY,REAL-TIME
459.995,0.45804128156459384,5060,-0.01,-50.0,0.01,0.02,1.7065044e+18,0.01,0.02,0.02,352.0,0.01006,put,american,2024-01-30,100,460,O:SPY240130P00460000,-0.003796894073457377,0.0009115817717217117,-0.0629593936073774,0.002072146002125192,0.01,5500,323,0.0,0,309,1706562774301992960,0.005,REAL-TIME,1.7065604511209925e+18,[232],0.01,1.0,312.0,REAL-TIME,-30.9,1706566042664777472,490.94,SPY,REAL-TIME
460.985,0.4446770990917376,21,-0.01,-50.0,0.01,0.01,1.7065044e+18,0.01,0.01,0.02,4247.0,0.01,put,american,2024-01-30,100,461,O:SPY240130P00461000,-0.003904162253767228,0.0009633374541913488,-0.06270210494024624,0.0057025200029639815,0.02,18001,322,0.01,1810,313,1706562265217189888,0.015,REAL-TIME,1.7065623929996306e+18,[209],0.01,709.0,325.0,REAL-TIME,-30.0,1706566042664777472,490.94,SPY,REAL-TIME
461.995,0.4302538606978992,40,-0.02,-66.7,0.01,0.02,1.7065044e+18,0.01,0.02,0.03,50.0,0.0158,put,american,2024-01-30,100,462,O:SPY240130P00462000,-0.004017785790504659,0.0010196862094925367,-0.06212683762947112,0.005706665048918241,0.01,4596,323,0.0,0,307,1706562393070893824,0.005,REAL-TIME,1.7065602221264013e+18,[236],0.01,1.0,308.0,REAL-TIME,-28.9,1706566042664777472,490.94,SPY,REAL-TIME
462.985,0.4158625668908133,266,-0.01,-50.0,0.01,0.01,1.7065044e+18,0.01,0.01,0.02,13.0,0.01,put,american,2024-01-30,100,463,O:SPY240130P00463000,-0.004138985044270387,0.0010815103383314305,-0.06155154692914834,0.005710663724505426,0.02,16027,322,0.01,1908,313,1706562265217189888,0.015,REAL-TIME,1.7065625773907607e+18,[209],0.01,10.0,301.0,REAL-TIME,-28.0,1706566042664777472,490.94,SPY,REAL-TIME
463.985,0.40150315640135364,69,-0.01,-50.0,0.01,0.01,1.7065044e+18,0.01,0.01,0.02,3980.0,0.01,put,american,2024-01-30,100,464,O:SPY240130P00464000,-0.004268547850794696,0.0011495620915879033,-0.060976234231125755,0.005714524955149766,0.02,18450,322,0.01,2550,322,1706562262774222336,0.015,REAL-TIME,1.706562623452805e+18,[209],0.01,491.0,316.0,REAL-TIME,-27.0,1706566042664777472,490.94,SPY,REAL-TIME
464.985,0.3871755794284581,802,-0.02,-66.7,0.01,0.02,1.7065044e+18,0.01,0.01,0.03,2379.0,0.01,put,american,2024-01-30,100,465,O:SPY240130P00465000,-0.0044073750834360634,0.0012247289198435657,-0.060400900966746864,0.005718226338416722,0.02,6504,313,0.01,2147,313,1706562629516201728,0.015,REAL-TIME,1.7065626780107538e+18,[209],0.01,20.0,325.0,REAL-TIME,-26.0,1706566042664777472,490.94,SPY,REAL-TIME
465.985,0.3728797999166129,512,-0.01,-33.3,0.02,0.02,1.7065044e+18,0.01,0.01,0.03,5.0,0.014,put,american,2024-01-30,100,466,O:SPY240130P00466000,-0.00455650165779346,0.0013080638734044754,-0.059825548712556825,0.005721721904169613,0.02,6005,302,0.01,2201,313,1706562595375529984,0.015,REAL-TIME,1.7065611211572042e+18,[233],0.02,1.0,302.0,REAL-TIME,-25.0,1706566042664777472,490.94,SPY,REAL-TIME
466.985,0.35861579689982365,983,-0.01,-50.0,0.01,0.02,1.7065044e+18,0.01,0.02,0.02,883.0,0.01007,put,american,2024-01-30,100,467,O:SPY240130P00467000,-0.004717122395008171,0.0014008243090903524,-0.059250178850961135,0.005725051936203845,0.02,9395,322,0.01,2192,313,1706562595470521088,0.015,REAL-TIME,1.706562699450605e+18,[209],0.01,20.0,325.0,REAL-TIME,-24.0,1706566042664777472,490.94,SPY,REAL-TIME
467.985,0.34438356909104056,793,-0.02,-66.7,0.01,0.03,1.7065044e+18,0.01,0.02,0.03,226.0,0.01876,put,american,2024-01-30,100,468,O:SPY240130P00468000,-0.004890624105886861,0.001504521606737952,-0.0586747930782296,0.00572811817634392,0.02,6976,322,0.01,2636,322,1706562595471542784,0.015,REAL-TIME,1.706558456628828e+18,[219],0.01,1.0,312.0,REAL-TIME,-23.0,1706566042664777472,490.94,SPY,REAL-TIME
468.995,0.33018313758504597,565,-0.02,-66.7,0.01,0.03,1.7065044e+18,0.01,0.01,0.03,5158.0,0.01984,put,american,2024-01-30,100,469,O:SPY240130P00469000,-0.005078625711682269,0.0016209856300334173,-0.05809939307158384,0.0057309853974064386,0.01,3692,313,0.0,0,316,1706562706772451584,0.005,REAL-TIME,1.7065622799250916e+18,[236],0.01,10.0,308.0,REAL-TIME,-21.9,1706566042664777472,490.94,SPY,REAL-TIME
469.985,0.31601454929874134,1420,-0.01,-50.0,0.01,0.03,1.7065044e+18,0.01,0.03,0.02,3387.0,0.02318,put,american,2024-01-30,100,470,O:SPY240130P00470000,-0.005283028514892192,0.001752449070443136,-0.05752397721359891,0.0057335844645497805,0.02,7999,323,0.01,3177,323,1706562591417932544,0.015,REAL-TIME,1.706562868127816e+18,[209],0.01,1.0,320.0,REAL-TIME,-21.0,1706566042664777472,490.94,SPY,REAL-TIME
470.985,0.3018778927143087,674,-0.02,-66.7,0.01,0.03,1.7065044e+18,0.01,0.01,0.03,185.0,0.01865,put,american,2024-01-30,100,471,O:SPY240130P00471000,-0.005506082291878956,0.001901659669830163,-0.05694855804101035,0.005735818763639608,0.02,7987,323,0.01,3472,323,1706562591417932544,0.015,REAL-TIME,1.7065628845100454e+18,[209],0.01,25.0,319.0,REAL-TIME,-20.0,1706566042664777472,490.94,SPY,REAL-TIME
471.985,0.2877732858976491,1074,-0.02,-50.0,0.02,0.03,1.7065044e+18,0.01,0.02,0.04,91.0,0.01923,put,american,2024-01-30,100,472,O:SPY240130P00472000,-0.005750464805803528,0.002072029181159859,-0.056373127229154225,0.005737816791342153,0.02,19274,322,0.01,2146,313,1706562678016145920,0.015,REAL-TIME,1.7065620947669645e+18,[209],0.02,1.0,304.0,REAL-TIME,-19.0,1706566042664777472,490.94,SPY,REAL-TIME
